#Date;Value 18:50 MSK
2018-07-27;62.7101
2018-07-26;62.881
2018-07-25;62.9886
2018-07-24;62.7479
2018-07-23;63.0437
2018-07-20;63.531
2018-07-19;63.5812
2018-07-18;63.151
2018-07-17;62.4811
2018-07-16;62.2813
2018-07-13;62.1495
2018-07-12;62.1231
2018-07-11;62.0332
2018-07-10;61.9647
2018-07-09;62.657
2018-07-06;62.9627
2018-07-05;63.1005
2018-07-04;63.2513
2018-07-03;63.1885
2018-07-02;63.4416
